# Vulnerable / outdated JS library detectors
# name<TAB>versionRegex(group1=version)<TAB>safeVersion<TAB>summary
# A finding is raised when the detected version is BELOW safeVersion.
# Curated starter set — extend as needed (this is not the full Retire.js DB).
jQuery	(?i)jquery[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	3.5.0	jQuery < 3.5.0 is affected by XSS via htmlPrefilter (CVE-2020-11022, CVE-2020-11023).
jQuery UI	(?i)jquery[\-. ]?ui[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	1.13.2	jQuery UI < 1.13.2: XSS in datepicker/dialog/tooltip (CVE-2021-41182/41183/41184, CVE-2022-31160).
AngularJS	(?i)angular(?:js)?[\s\-/]*v?(1\.[0-9]+\.[0-9]+)	999.0.0	AngularJS 1.x is End-of-Life and unpatched; multiple XSS and sandbox-escape issues. Migrate to Angular 2+.
Bootstrap	(?i)bootstrap[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	4.3.1	Bootstrap < 4.3.1 (and 3.x < 3.4.1): XSS via data-* attributes (CVE-2019-8331, CVE-2018-14041).
Lodash	(?i)lodash[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	4.17.21	lodash < 4.17.21: prototype pollution and ReDoS (CVE-2020-8203, CVE-2021-23337, CVE-2019-10744).
Moment.js	(?i)moment(?:\.js)?[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	2.29.4	moment < 2.29.4: ReDoS and path traversal (CVE-2022-24785, CVE-2022-31129). Project is in maintenance mode.
Handlebars	(?i)handlebars[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	4.7.7	Handlebars < 4.7.7: prototype pollution leading to RCE (CVE-2019-19919, CVE-2021-23369/23383).
DOMPurify	(?i)dompurify[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	3.0.9	DOMPurify < 3.0.9: several mutation-XSS sanitizer bypasses reported; keep up to date.
AngularJS sanitize	(?i)angular[\-. ]sanitize[\s\-/]*v?(1\.[0-9]+\.[0-9]+)	999.0.0	angular-sanitize 1.x is EOL alongside AngularJS; unpatched XSS bypasses.
Underscore.js	(?i)underscore(?:\.js)?[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	1.12.1	underscore < 1.12.1: arbitrary code execution via template (CVE-2021-23358).
Axios	(?i)axios[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	1.6.0	axios < 1.6.0: CSRF token leakage / SSRF and ReDoS issues (CVE-2023-45857, CVE-2021-3749).
jQuery Validation	(?i)jquery[\-. ]?validat(?:e|ion)[\s\-/]*v?([0-9]+\.[0-9]+\.[0-9]+)	1.19.5	jquery-validation < 1.19.5: ReDoS in URL/credit-card validators (CVE-2021-43306, CVE-2022-31147).
